WKT,name,description,latitudine,longitudine
POINT (9.1067381 45.4602145),Baggio Viridiana Arm Jump,,45.4602145,9.1067381
"POLYGON ((9.1067132 45.4601873, 9.1067186 45.4601722, 9.1068769 45.4601995, 9.1068728 45.4602145, 9.1067132 45.4601873))",Baggio Viridiana Arm Jump,,,
POINT (9.1493834 45.3996063),Emergency stairs Descents,Every building around has descents. We suggest you go south of this area in order not to get kicked off.,45.3996063,9.1493834
"POLYGON ((9.1500808 45.4024087, 9.1483212 45.402725, 9.1468836 45.4006158, 9.145918 45.3991091, 9.1453815 45.3982955, 9.1453601 45.3978435, 9.1460896 45.3973312, 9.1482998 45.3966984, 9.1486431 45.3971353, 9.1506387 45.3966381, 9.1524626 45.4003446, 9.1518617 45.4019416, 9.1500808 45.4024087))",Emergency stairs descents,Every building around has descents. We suggest you go south of this area in order not to get kicked off.,,
POINT (9.1268283 45.4512941),Inganni Corba Pre,,45.4512941,9.1268283
"POLYGON ((9.12678 45.4512903, 9.1268149 45.4512414, 9.1268511 45.4512518, 9.1267666 45.4513571, 9.1267344 45.4513515, 9.12678 45.4512903))",Inganni Corba Pre,,,
POINT (8.909392 45.4261221),Lugagnano Water Challenge,,45.4261221,8.909392
"GEOMETRYCOLLECTION (POLYGON ((8.9093453 45.4261355, 8.9093879 45.4261814, 8.9091988 45.4262595, 8.9091519 45.4261917, 8.9093453 45.4261355)), POLYGON ((8.9093453 45.4261355, 8.909345 45.4261352, 8.9094613 45.4261002, 8.9093463 45.4261352, 8.9093453 45.4261355)), POLYGON ((8.9094613 45.4261002, 8.9098787 45.4259733, 8.9100799 45.426139, 8.910033 45.4261945, 8.9099726 45.4261955, 8.9099592 45.4261635, 8.9099887 45.4261484, 8.9098492 45.4260072, 8.9098332 45.4259884, 8.9094613 45.4261002)))",Lugagnano Water Challenge,,,
POINT (9.1495539 45.5207259),Metropoli's Descent,,45.5207259,9.1495539
"GEOMETRYCOLLECTION (POLYGON ((9.1498897 45.5205619, 9.149879 45.5206107, 9.1492969 45.5205619, 9.149313 45.5204829, 9.1498897 45.5205619)), POLYGON ((9.1484037 45.51975, 9.148326 45.5197462, 9.1483957 45.5192614, 9.1484815 45.5192689, 9.1484037 45.51975)), POLYGON ((9.1502115 45.5206408, 9.1501311 45.5207254, 9.1501633 45.5208081, 9.1502384 45.5208588, 9.1503483 45.5208287, 9.1503966 45.5207573, 9.1503644 45.5206803, 9.1503671 45.520637, 9.1504261 45.5206446, 9.150469 45.5207122, 9.1504583 45.5207874, 9.1504422 45.5208306, 9.1503859 45.5208701, 9.1502893 45.5209039, 9.1501901 45.5208813, 9.1501096 45.5208475, 9.1500667 45.5208099, 9.1500533 45.5207686, 9.1500533 45.5207197, 9.1500774 45.5206652, 9.1501043 45.5206323, 9.1502115 45.5206408)), POLYGON ((9.148967 45.5205074, 9.1490555 45.5205431, 9.149077 45.5206107, 9.1490689 45.5206633, 9.1490314 45.5207103, 9.1489536 45.5207423, 9.1488463 45.5207554, 9.1487766 45.5207423, 9.1487176 45.5207272, 9.1486961 45.5206915, 9.1486746 45.5206464, 9.1486639 45.5206107, 9.1486639 45.5205637, 9.1486854 45.5205262, 9.1487149 45.5204942, 9.1487497 45.5204792, 9.1488061 45.5205186, 9.1487283 45.5205919, 9.1487524 45.5206633, 9.1488409 45.5207066, 9.1489482 45.5206859, 9.1490046 45.5206276, 9.1489616 45.5205356, 9.148967 45.5205074)))",Metropoli's Descent,,,
POINT (9.0998855 45.5061838),Muri grigi Bonola,,45.5061838,9.0998855
"POLYGON ((9.099807 45.506222, 9.099764 45.506098, 9.099885 45.506083, 9.099952 45.506183, 9.099807 45.506222))",Muri grigi Bonola,,,
POINT (9.2249879 45.5230868),Sesto Marelli roof gap,,45.5230868,9.2249879
"POLYGON ((9.2249523 45.5231074, 9.2249791 45.5230379, 9.2250448 45.5230463, 9.2250274 45.5231149, 9.2249523 45.5231074))",Sesto Marelli roof gap,,,
POINT (9.1473506 45.4547293),Vittorini Descent,,45.4547293,9.1473506
"POLYGON ((9.1473012 45.4546672, 9.147324 45.4546267, 9.1474903 45.45467, 9.1474662 45.4547095, 9.1473012 45.4546672))",Vittorini Descent,,,
POINT (9.124374 45.4467246),Vodafone Plyos,,45.4467246,9.124374
"POLYGON ((9.124254 45.4466762, 9.1242647 45.4466564, 9.1245189 45.4467369, 9.1244981 45.4467571, 9.124254 45.4466762))",Vodafone Plyos,,,
