WKT,name,description,nome,latitudine,longitudine
POINT (8.9136861 45.3899768),Abbiate 1,,,45.3899768,8.9136861
"POLYGON ((8.91359 45.389856, 8.913719 45.389839, 8.913749 45.389969, 8.913617 45.389975, 8.91359 45.389856))",Abbiate 1,,,45.389856,8.91359
POINT (8.920069 45.400926 0.0),Abbiate 2,,,45.400926,8.920069
"GEOMETRYCOLLECTION (POLYGON ((8.920206 45.400977, 8.920227 45.400814, 8.920391 45.400847, 8.920345 45.401007, 8.920206 45.400977)), POLYGON ((8.919933 45.400948, 8.91974 45.40104, 8.919762 45.400959, 8.919842 45.400924, 8.919933 45.400948)))",Abbiate 2,,,,
POINT (9.179998 45.4221888),Abbiategrasso Condominio,,,45.4221888,9.179998
,,,,,
"POLYGON ((9.1796909 45.4220326, 9.1796923 45.4219488, 9.180332 45.4219431, 9.1803279 45.422089, 9.180226 45.4220919, 9.1802233 45.4221408, 9.1798009 45.4221427, 9.1798036 45.4220363, 9.1796909 45.4220326))",Abbiategrasso Condominio,,,45.4220326,9.1796909
POINT (9.177478 45.468126 0.0),Ago e filo,Water challanges kinda stuff,,45.468126,9.177478
"GEOMETRYCOLLECTION (POLYGON ((9.177435 45.468088, 9.1773147 45.4681768, 9.177181 45.468276, 9.177158 45.468274, 9.176947 45.468138, 9.176943 45.468064, 9.177435 45.468088)), POLYGON ((9.177638 45.468075, 9.177851 45.468041, 9.177854 45.468056, 9.177643 45.468151, 9.177619 45.468143, 9.177638 45.468075)), POLYGON ((9.177635 45.468023, 9.177566 45.467923, 9.177916 45.467934, 9.177929 45.467965, 9.177846 45.467991, 9.177635 45.468023)))",Ago e filo,,,,
POINT (9.2002721 45.4859497),Aldi Centrale,,,45.4859497,9.2002721
,,,,,
"POLYGON ((9.2002814 45.4860376, 9.2002224 45.485984, 9.2004075 45.4858853, 9.2004719 45.4859473, 9.2002814 45.4860376))",Aldi Centrale,,,45.4860376,9.2002814
POINT (9.1486243 45.3977323),Assago,Water hoses go off at 20.15 and almost every building around has a fun descent on the emergency stairs,,45.3977323,9.1486243
"POLYGON ((9.148671 45.397662, 9.148706 45.39772, 9.148524 45.397772, 9.148478 45.3977, 9.148664 45.397649, 9.148671 45.397662))",Assago,Water hoses go off at 20.15 + almost every building has a descent on the emergency stairs,,45.397662,9.148671
POINT (9.0903769 45.4633377),Baggio Biblioteca,Go when the library's closed to avoid getting kicked off,,45.4633377,9.0903769
"POLYGON ((9.090133 45.4634, 9.090246 45.463191, 9.09052 45.463255, 9.090455 45.463356, 9.090546 45.463375, 9.090514 45.463452, 9.09042 45.463428, 9.090402 45.463464, 9.090133 45.4634))",Baggio Biblioteca,Go when the library's closed to avoid getting kicked off,,45.4634,9.090133
POINT (9.1166926 45.5267644),Baranzate,,,45.5267644,9.1166926
"POLYGON ((9.1165793 45.526671, 9.1170735 45.5266179, 9.1170648 45.5267884, 9.1167007 45.5268222, 9.1166879 45.526841, 9.1165759 45.5268358, 9.1165793 45.526671))",Baranzate,,,45.526671,9.1165793
POINT (9.2700279 45.4044261),Borgo Lombardo Train Station,,,45.4044261,9.2700279
"POLYGON ((9.2698495 45.4045212, 9.2700721 45.4043348, 9.2701915 45.4044045, 9.2699635 45.4045871, 9.2698495 45.4045212))",Borgo Lombardo Train Station,,,45.4045212,9.2698495
POINT (9.161925 45.507705 0.0),Bovisa Muri Bianchi ,,,45.507705,9.161925
,,,,,
"POLYGON ((9.161769 45.507582, 9.162041 45.507633, 9.16201 45.507708, 9.161908 45.50769, 9.161734 45.507759, 9.161719 45.50774, 9.16186 45.507684, 9.161785 45.507672, 9.161802 45.507626, 9.161749 45.507618, 9.161769 45.507582))",Bovisa Muri Bianchi,,,45.507582,9.161769
,,,,,
POINT (9.1858737 45.5364082),Bresso Condomini Via S. Giacomo,,,45.5364082,9.1858737
,,,,,
"POLYGON ((9.1857959 45.5363781, 9.1857906 45.5363312, 9.1858871 45.5363143, 9.1858925 45.5363894, 9.1857959 45.5363781))",Bresso Condomini Via S. Giacomo,,,45.5363781,9.1857959
POINT (9.1935539 45.5312296),Bresso Parco Via Veneto,There's also a small rooftop.,,45.5312296,9.1935539
"POLYGON ((9.1931731 45.5314118, 9.1931435 45.5311018, 9.1931757 45.5310962, 9.1932321 45.5310943, 9.193216 45.5309909, 9.193621 45.5309665, 9.1936103 45.5308388, 9.1938302 45.5308237, 9.1938436 45.5310717, 9.194195 45.5310567, 9.1942084 45.5313818, 9.1931731 45.5314118))",Bresso Parco Via Veneto,There's also a small rooftop.,,45.5314118,9.1931731
POINT (9.1923434 45.5356764),Bresso Poste,,,45.5356764,9.1923434
"POLYGON ((9.1921932 45.535667, 9.1921959 45.5354604, 9.1926398 45.5355477, 9.1925955 45.5356116, 9.1925955 45.535621, 9.1926102 45.5356708, 9.1925633 45.5357159, 9.1924252 45.5356971, 9.1923729 45.5356595, 9.1921932 45.535667))",Bresso Poste,,,45.535667,9.1921932
POINT (9.1903871 45.5337525),Bresso Vicolo Isetta,,,45.5337525,9.1903871
,,,,,
"POLYGON ((9.190481 45.5329276, 9.1906715 45.5329445, 9.190304 45.5344007, 9.1901806 45.5343837, 9.1905266 45.5329746, 9.1904676 45.5329671, 9.190481 45.5329276))",Bresso Vicolo Isetta,,,45.5329276,9.190481
,,,,,
POINT (9.101542 45.474349 0.0),Campi Basket Parco delle Cave,,,45.474349,9.101542
"POLYGON ((9.101542 45.474349, 9.101216 45.474249, 9.101235 45.474206, 9.101602 45.474309, 9.101542 45.474349))",Campi Basket Parco delle Cave,,,45.474349,9.101542
POINT (9.093181 45.449063 0.0),Casa Ambrosiana,,,45.449063,9.093181
"POLYGON ((9.093036 45.44888, 9.093186 45.44885, 9.093315 45.448879, 9.093511 45.449063, 9.093498 45.449219, 9.093438 45.44924, 9.093036 45.44888))",Casa Ambrosiana,,,45.44888,9.093036
POINT (9.086568 45.441926 0.0),Cerchi Cesano,,,45.441926,9.086568
"POLYGON ((9.087293 45.441362, 9.087162 45.441611, 9.086902 45.44187, 9.086878 45.442057, 9.08669 45.442343, 9.086548 45.442548, 9.08647 45.442533, 9.086505 45.44248, 9.086564 45.442488, 9.086658 45.442354, 9.086599 45.44233, 9.086658 45.442286, 9.086762 45.44219, 9.086813 45.442051, 9.086808 45.441998, 9.086867 45.441994, 9.086832 45.44191, 9.086824 45.441865, 9.086872 45.441848, 9.087132 45.441605, 9.0871 45.441592, 9.087114 45.44156, 9.087135 45.441552, 9.087124 45.441469, 9.087181 45.441434, 9.087293 45.441362))",Cerchi Cesano,,,45.441362,9.087293
POINT (9.091964 45.439293 0.0),Chiesa Cesano,,,45.439293,9.091964
"POLYGON ((9.091776 45.439109, 9.091913 45.439087, 9.091983 45.439269, 9.091964 45.439293, 9.091851 45.439237, 9.09179 45.439166, 9.091776 45.439109))",Chiesa Cesano,,,45.439109,9.091776
POINT (9.1925789 45.5564137),Chiesa Cusano,,,45.5564137,9.1925789
,,,,,
"GEOMETRYCOLLECTION (POLYGON ((9.1926165 45.5565555, 9.1925722 45.5566532, 9.192414 45.5566156, 9.1924569 45.556518, 9.1926165 45.5565555)), POLYGON ((9.1930912 45.5563738, 9.1933393 45.5564278, 9.1933219 45.5564541, 9.1930778 45.5564034, 9.1930912 45.5563738)), POLYGON ((9.192827 45.556316, 9.1927855 45.5563949, 9.1926889 45.5563762, 9.1926715 45.5563696, 9.1927131 45.5562907, 9.192827 45.556316)))",Chiesa Cusano,,,,
,,,,,
POINT (9.1724781 45.4304452),Chiesa Rossa,,,45.4304452,9.1724781
"POLYGON ((9.172385 45.430508, 9.172351 45.430455, 9.172417 45.430422, 9.172312 45.430374, 9.172344 45.430342, 9.172423 45.430372, 9.172458 45.430399, 9.172465 45.430334, 9.172496 45.430303, 9.172564 45.430308, 9.172602 45.430316, 9.172712 45.430273, 9.172752 45.43033, 9.172496 45.430433, 9.172513 45.430448, 9.172385 45.430508))",Chiesa Rossa,,,45.430508,9.172385
POINT (9.14072 45.460852 0.0),Chiosco Bande Nere,,,45.460852,9.14072
"POLYGON ((9.140736 45.460836, 9.14066 45.460848, 9.140564 45.460825, 9.140545 45.460778, 9.140601 45.460729, 9.140738 45.460712, 9.140854 45.460738, 9.140856 45.460782, 9.140797 45.460823, 9.140736 45.460836))",Chiosco Bande Nere,,,45.460836,9.140736
POINT (9.207258 45.5119331),Collina dei Ciliegi,,,45.5119331,9.207258
"POLYGON ((9.207168 45.511973, 9.207082 45.511929, 9.207205 45.511805, 9.207318 45.511862, 9.207194 45.511986, 9.207168 45.511973))",Collina dei Ciliegi,,,45.511973,9.207168
POINT (9.079837 45.5765691),Comune di Garbagnate,,,45.5765691,9.079837
,,,,,
"POLYGON ((9.079483 45.5765326, 9.0795219 45.576281, 9.0801991 45.5763646, 9.0800878 45.5766359, 9.0799041 45.5766105, 9.079896 45.5765664, 9.079483 45.5765326))",Comune di Garbagnate,,,45.5765326,9.079483
,,,,,
POINT (9.1355919 45.4410247),Conad spot,,,45.4410247,9.1355919
"POLYGON ((9.135107 45.441044, 9.13522 45.44084, 9.135823 45.440816, 9.135799 45.440897, 9.13563 45.4412, 9.135107 45.441044))",Conad spot,,,45.441044,9.135107
POINT (9.176578 45.4458861),Conchetta del Naviglio Pavese,,,45.4458861,9.176578
"POLYGON ((9.1767014 45.4459717, 9.1765264 45.4459039, 9.1764158 45.4455408, 9.1765177 45.4455257, 9.1766062 45.4455652, 9.1767014 45.4459717))",Conchetta del Naviglio Pavese,,,45.4459717,9.1767014
POINT (9.1774132 45.5377184),Cormano Via Don Abbondio,,,45.5377184,9.1774132
,,,,,
"POLYGON ((9.1772736 45.5377043, 9.177271 45.5376658, 9.1773514 45.5376292, 9.177389 45.5375559, 9.177389 45.5375277, 9.1774426 45.5375202, 9.1774185 45.5376151, 9.1773622 45.5376667, 9.1772736 45.5377043))",Cormano Via Don Abbondio,,,45.5377043,9.1772736
,,,,,
POINT (9.107044 45.4275904),Corsico Viale Resistenza,,,45.4275904,9.107044
,,,,,
"GEOMETRYCOLLECTION (POLYGON ((9.1070066 45.4277231, 9.1070723 45.4277353, 9.1069878 45.4279057, 9.1069154 45.4278869, 9.1070066 45.4277231)), POLYGON ((9.1071152 45.4275669, 9.107028 45.427548, 9.1070682 45.4274878, 9.1071474 45.4275104, 9.1071152 45.4275669)))",Corsico Viale Resistenza,,,,
POINT (9.160527 45.481716 0.0),Domodossola,,,45.481716,9.160527
"POLYGON ((9.160739 45.481697, 9.16073 45.481603, 9.160969 45.481603, 9.16102 45.48149, 9.161535 45.481388, 9.161884 45.481622, 9.161707 45.481838, 9.161452 45.48187, 9.161313 45.481977, 9.161259 45.482041, 9.161106 45.48199, 9.16116 45.481911, 9.160739 45.481697))",Domodossola,,,45.481697,9.160739
POINT (9.1728308 45.4362621),Famagosta 2,,,45.4362621,9.1728308
