WKT,name,description,latitudine,longitudine
POINT (9.231468 45.503613 0.0),Anfiteatro Martesana,,45.503613,9.231468
"GEOMETRYCOLLECTION (POLYGON ((9.232031 45.503909, 9.232013 45.503798, 9.232152 45.503828, 9.232174 45.503768, 9.232235 45.503757, 9.232308 45.503757, 9.232372 45.50377, 9.232399 45.503817, 9.232402 45.503854, 9.232369 45.503903, 9.232324 45.503928, 9.232273 45.503947, 9.232235 45.503965, 9.232179 45.50399, 9.232122 45.504018, 9.232101 45.504187, 9.232155 45.504232, 9.23209 45.504268, 9.23197 45.504255, 9.231954 45.504202, 9.232031 45.504168, 9.232066 45.503986, 9.232176 45.503935, 9.232144 45.503913, 9.232031 45.503909)), POLYGON ((9.23176 45.503738, 9.231728 45.503757, 9.231498 45.503578, 9.231535 45.503537, 9.231535 45.503492, 9.231522 45.50346, 9.231473 45.503441, 9.231404 45.503435, 9.231358 45.503456, 9.231339 45.503469, 9.230891 45.503129, 9.230932 45.503099, 9.231264 45.503338, 9.231347 45.503321, 9.231447 45.503317, 9.23154 45.503322, 9.231594 45.503343, 9.231664 45.503375, 9.231704 45.503411, 9.231728 45.50345, 9.231752 45.50352, 9.231739 45.503546, 9.231728 45.503584, 9.23171 45.503623, 9.231669 45.50365, 9.23176 45.503738)))",Anfiteatro Martesana,,,
POINT (9.087755 45.433853 0.0),Auchan Cesano,,45.433853,9.087755
"POLYGON ((9.087599 45.434008, 9.087536 45.433983, 9.087795 45.433633, 9.087874 45.433661, 9.087599 45.434008))",Auchan Cesano,,45.434008,9.087599
"POLYGON ((9.144602 45.433646, 9.144522 45.43363, 9.144594 45.43352, 9.144643 45.433447, 9.144533 45.433323, 9.144589 45.433294, 9.144696 45.433426, 9.144879 45.433345, 9.145013 45.43337, 9.145182 45.433323, 9.145209 45.433379, 9.145026 45.433458, 9.144865 45.433505, 9.144804 45.433443, 9.14471 45.433481, 9.144626 45.43365, 9.144602 45.433646))",Barona,,45.433646,9.144602
POINT (9.1493472 45.4327488),Barrio's,Some descents. Sleeping spot on the roof with a covered part too.,45.4327488,9.1493472
"POLYGON ((9.149313 45.432897, 9.14909 45.432753, 9.149145 45.432714, 9.149132 45.432547, 9.149586 45.432536, 9.149715 45.432621, 9.149431 45.432814, 9.149367 45.432864, 9.149365 45.43289, 9.149313 45.432897))",Barrio's,Some descents. Sleeping spot on the roof with a covered part too.,45.432897,9.149313
POINT (9.213033 45.516621 0.0),Bicocca,,45.516621,9.213033
"GEOMETRYCOLLECTION (POLYGON ((9.213475 45.517509, 9.2137 45.517456, 9.213743 45.51755, 9.213523 45.517607, 9.212997 45.516611, 9.213475 45.517509)), POLYGON ((9.212997 45.516611, 9.212638 45.516705, 9.212397 45.516257, 9.213169 45.516051, 9.213405 45.516509, 9.212997 45.516611)))",Bicocca,,,
POINT (9.1095987 45.5457871),Bollate,,45.5457871,9.1095987
