WKT,name,description,latitudine,longitudine
POINT (9.1801831 45.4205001),Abbiategrasso,One of the most iconic spots in Milan. mosquitoes in summer can be very annoying but the spot is really worth it.,45.4205001,9.1801831
"GEOMETRYCOLLECTION (POLYGON ((9.179611 45.421264, 9.179659 45.421296, 9.179643 45.421313, 9.179549 45.421377, 9.17945 45.421381, 9.17938 45.421344, 9.179362 45.42127, 9.179359 45.421232, 9.179206 45.421121, 9.179286 45.421074, 9.179445 45.421178, 9.179466 45.421165, 9.179611 45.421264)), POLYGON ((9.181684 45.419819, 9.181523 45.419696, 9.181623 45.419625, 9.181381 45.419459, 9.181266 45.419542, 9.181159 45.419474, 9.181395 45.419312, 9.181494 45.419382, 9.181419 45.419425, 9.181663 45.419593, 9.181754 45.419527, 9.181958 45.41967, 9.18173 45.419837, 9.181684 45.419819)))",Abbiategrasso,One of the most iconic spots in Milan. mosquitoes in summer can be very annoying but the spot is really worth it.,,
POINT (9.1834721 45.5543214),Cusano,,45.5543214,9.1834721
"POLYGON ((9.1833216 45.5544607, 9.1833016 45.5543625, 9.183472 45.554346, 9.183467 45.554329, 9.183416 45.554324, 9.183389 45.55431, 9.183372 45.554286, 9.183358 45.554256, 9.183361 45.554225, 9.183381 45.554196, 9.183451 45.554175, 9.183503 45.554174, 9.183545 45.554199, 9.18357 45.554232, 9.183584 45.554266, 9.183574 45.554297, 9.183533 45.55432, 9.183499 45.554329, 9.1835 45.554343, 9.1836704 45.5543264, 9.1836924 45.5544224, 9.1833216 45.5544607))",Cusano,,45.5544607,9.1833216
POINT (9.1826427 45.4878431),Garibaldi Green walls,The third most iconic spot in Milan.,45.4878431,9.1826427
"GEOMETRYCOLLECTION (POLYGON ((9.182698 45.488716, 9.18267 45.488745, 9.182578 45.488715, 9.182578 45.488701, 9.182507 45.488703, 9.182499 45.488672, 9.182563 45.488665, 9.182631 45.488676, 9.182698 45.488716)), POLYGON ((9.182574 45.48797, 9.182534 45.487886, 9.182517 45.487805, 9.182558 45.487803, 9.182548 45.487764, 9.182701 45.487752, 9.182706 45.487799, 9.182739 45.487808, 9.182674 45.487909, 9.182635 45.487909, 9.182646 45.487961, 9.182614 45.487977, 9.182574 45.48797)))",Garibaldi Green walls,The third most iconic spot in Milan.,,
POINT (9.1876066 45.4837969),Garibaldi Grey walls,,45.4837969,9.1876066
"POLYGON ((9.187342 45.483885, 9.187264 45.483796, 9.187779 45.483706, 9.187806 45.483779, 9.187462 45.483838, 9.187342 45.483885))",Garibaldi Grey walls,,45.483885,9.187342
POINT (9.215797 45.460303 0.0),Marinai d'Italia,,45.460303,9.215797
"GEOMETRYCOLLECTION (POLYGON ((9.215498 45.45975, 9.215508 45.459686, 9.2156 45.459675, 9.2156 45.459603, 9.215964 45.459596, 9.215964 45.459648, 9.216056 45.459648, 9.216056 45.45972, 9.215498 45.45975)), POLYGON ((9.215546 45.461616, 9.215659 45.461613, 9.215664 45.461722, 9.21575 45.461752, 9.215755 45.461835, 9.215573 45.461759, 9.21538 45.461763, 9.215294 45.461835, 9.215101 45.461853, 9.215101 45.461744, 9.215304 45.461707, 9.215304 45.461609, 9.215546 45.461616)))",Marinai d'Italia,,,
"POLYGON ((9.1460038 45.4319725, 9.1460266 45.431964, 9.1460936 45.4320318, 9.1461687 45.4320083, 9.1459287 45.4317381, 9.146052 45.4316883, 9.1461727 45.4318134, 9.1463538 45.4319264, 9.1462841 45.4319697, 9.1462653 45.432013, 9.1461392 45.4320826, 9.1461687 45.4321221, 9.1461459 45.4321325, 9.1461741 45.4321654, 9.1461486 45.4321729, 9.1461231 45.4321391, 9.1460923 45.4321466, 9.1460655 45.4321522, 9.1460239 45.4321457, 9.1459971 45.4321344, 9.1459743 45.4321108, 9.1459635 45.4320882, 9.1459622 45.4320657, 9.1459837 45.4320346, 9.1460158 45.4320186, 9.1459756 45.4319838, 9.1460038 45.4319725))",Mazzolari,,45.4319725,9.1460038
POINT (9.279553 45.518915 0.0),Muri Bianchi Cologno,,45.518915,9.279553
"GEOMETRYCOLLECTION (LINESTRING (9.279329 45.518788 0.0, 9.279566 45.5188 0.0, 9.279329 45.518788 0.0), POLYGON ((9.279329 45.518788, 9.279307 45.519019, 9.279194 45.519012, 9.279213 45.518874, 9.279232 45.518877, 9.279246 45.518784, 9.279329 45.518788)), POLYGON ((9.279841 45.518814, 9.27983 45.518909, 9.279854 45.518912, 9.279837 45.519044, 9.279728 45.51904, 9.279758 45.51881, 9.279566 45.5188, 9.279841 45.518814)))",Muri Bianchi Cologno,,,
"GEOMETRYCOLLECTION (POLYGON ((9.133692 45.493256, 9.133657 45.493267, 9.133612 45.493258, 9.133572 45.493267, 9.133512 45.493199, 9.133496 45.493179, 9.13358 45.493139, 9.133572 45.493119, 9.133698 45.493075, 9.133778 45.493181, 9.13373 45.493199, 9.133738 45.493231, 9.133692 45.493256)), POLYGON ((9.13406 45.493703, 9.134116 45.493679, 9.134129 45.493696, 9.134478 45.493551, 9.134529 45.493557, 9.13454 45.493585, 9.134529 45.493609, 9.134178 45.493752, 9.134218 45.493809, 9.1341 45.493852, 9.134057 45.493807, 9.134017 45.493809, 9.133722 45.493936, 9.133682 45.493923, 9.133673 45.493891, 9.13369 45.493863, 9.13406 45.493703)))",QT8,,,
POINT (9.1437721 45.5098323),Quarto Oggiaro,,45.5098323,9.1437721
"GEOMETRYCOLLECTION (POLYGON ((9.145036 45.509995, 9.145037 45.509996, 9.143801 45.510058, 9.145036 45.509995)), POLYGON ((9.14496 45.509846, 9.1449893 45.5098042, 9.1448094 45.5097324, 9.1450787 45.5095702, 9.1452445 45.5097599, 9.145295 45.509895, 9.145242 45.509949, 9.145119 45.509991, 9.145036 45.509995, 9.14496 45.509846)), POLYGON ((9.143801 45.510058, 9.143709 45.510032, 9.143495 45.510046, 9.143457 45.509916, 9.143461 45.509834, 9.143554 45.50982, 9.143429 45.509704, 9.143601 45.509685, 9.143598 45.509647, 9.14365 45.509651, 9.143801 45.510058)))",Quarto Oggiaro,,,
POINT (9.1970037 45.4793429),Repubblica,,45.4793429,9.1970037
"POLYGON ((9.197111 45.479102, 9.19721 45.479147, 9.197068 45.479341, 9.197098 45.479352, 9.197015 45.479448, 9.196875 45.479407, 9.196942 45.479324, 9.196891 45.479302, 9.196926 45.479258, 9.196982 45.479279, 9.197111 45.479102))",Repubblica,,45.479102,9.197111
POINT (9.2439295 45.4358242),Rogoredo,,45.4358242,9.2439295
"POLYGON ((9.243813 45.435861, 9.243928 45.435759, 9.244073 45.435812, 9.243922 45.435905, 9.243813 45.435861))",Rogoredo,,45.435861,9.243813
"POLYGON ((9.166959 45.443092, 9.167032 45.44308, 9.167037 45.44311, 9.167083 45.443148, 9.167169 45.443163, 9.167257 45.443154, 9.167305 45.443124, 9.1673 45.44308, 9.167206 45.443054, 9.167045 45.443063, 9.167034 45.443024, 9.167209 45.443014, 9.1673 45.443039, 9.167367 45.443078, 9.167386 45.443126, 9.167705 45.44315, 9.167721 45.443107, 9.167456 45.443092, 9.16752 45.442691, 9.167024 45.442664, 9.167032 45.442589, 9.167128 45.442597, 9.167134 45.442525, 9.167346 45.442538, 9.167362 45.442433, 9.167166 45.442412, 9.167185 45.442292, 9.167643 45.442316, 9.16752 45.443048, 9.16774 45.443063, 9.167724 45.443148, 9.168032 45.443137, 9.16804 45.443188, 9.167201 45.443227, 9.167161 45.443205, 9.167059 45.443193, 9.166976 45.443144, 9.166959 45.443092))",Romolo,.,45.443092,9.166959
POINT (9.1688339 45.4489663),Romolo 2,The second most iconic spot in milano. low walls perfect for tricks around or strides.,45.4489663,9.1688339
"GEOMETRYCOLLECTION (LINESTRING (9.167163 45.44824, 9.16753 45.448381, 9.167163 45.44824), POLYGON ((9.167731 45.448458, 9.167712 45.448499, 9.167503 45.448423, 9.16753 45.448381, 9.167731 45.448458)), POLYGON ((9.167065 45.448356, 9.166746 45.448236, 9.166838 45.448115, 9.167163 45.44824, 9.167065 45.448356)), POLYGON ((9.168916 45.448823, 9.169115 45.448943, 9.168874 45.449146, 9.16805 45.448983, 9.1677487 45.4497617, 9.1677027 45.4497546, 9.16805 45.448924, 9.168654 45.449052, 9.168916 45.448823)))",Romolo 2,The second most iconic spot in milano. low walls perfect for tricks around or strides.,,
POINT (9.1062883 45.5027321),San Leonardo,Kongs and some other big jumps are possible.,45.5027321,9.1062883
"POLYGON ((9.106672 45.502079, 9.1068 45.502058, 9.106988 45.502379, 9.106736 45.502451, 9.106696 45.502605, 9.106728 45.502898, 9.106486 45.502881, 9.106462 45.502831, 9.106374 45.502832, 9.106293 45.502819, 9.106202 45.50293, 9.106092 45.503056, 9.105915 45.502987, 9.105813 45.50297, 9.10576 45.503041, 9.105642 45.503015, 9.105591 45.502951, 9.105658 45.50291, 9.105695 45.50284, 9.105808 45.502836, 9.105899 45.502879, 9.106009 45.502911, 9.106132 45.502902, 9.106191 45.502917, 9.106283 45.5028, 9.106358 45.502695, 9.106299 45.502644, 9.106548 45.502472, 9.106567 45.502492, 9.106532 45.502575, 9.106685 45.502594, 9.10672 45.502456, 9.106551 45.502398, 9.106672 45.502079))",San Leonardo,,45.502079,9.106672
"POLYGON ((9.171595 45.462064, 9.171413 45.46188, 9.172322 45.461374, 9.172353 45.461406, 9.172189 45.461491, 9.172236 45.46153, 9.172648 45.461309, 9.173218 45.461858, 9.173159 45.461884, 9.172739 45.461504, 9.17202 45.461905, 9.172034 45.461919, 9.171956 45.461958, 9.172012 45.462007, 9.17193 45.462054, 9.171595 45.462064))",Sant' Ambrogio,,45.462064,9.171595
